c_id,title,year,release,rating
3755,Bus Conductor (2005),2005,23-12-2005,78
3756,By the People (2005),2005,,87
3757,Boy Friend (2005),2005,28-10-2005,81
3759,Kanne Madanguka (2005),2005,,91
3762,Nerariyaan CBI (2005),2005,09-08-2005,94
3763,Krithyam (2005),2005,,73
3768,Finger Print (2005),2005,,92
3773,Bharathchandran IPS (2005),2005,,92
3775,Thaskaraveeran (2005),2005,27-05-2005,73
3782,Hotel California (2013),2013,05-03-2013,70
3784,Kilukkam Kilukilukkam (2006),2006,,65
3785,Madhu Chandralekha (2006),2006,26-03-2004,72
3786,Lion (2006),2006,,92
3788,Achanurangaatha Veedu (2006),2006,,87
3789,Rasathanthram (2006),2006,20-03-2006,93
3791,Vadakkumnathan (2006),2006,,93
3792,Out of Syllabus (2006),2006,,71
3793,Speed (Fast Track) (2007),2007,03-02-2007,75
3794,Aarya (2006),2006,,80
3795,Pachakkuthira (2006),2006,14-04-2006,90
3796,Lanka (2006),2006,,48
3797,Thuruppugulaan (2006),2006,,88
3798,Chinthamani Kolacase (2006),2006,14-04-2006,95
3799,Raashtram (2006),2006,,94
3800,Balram v/s Tharadas (2006),2006,28-04-2006,70
3801,Thanthra (2006),2006,,49
3803,Raavanan (2006),2006,,62
3807,Avan Chaandiyude Makan (2007),2007,01-12-2007,84
3808,Pulijanmam (2006),2006,05-12-2006,74
3809,Prajaapathy (2006),2006,,84
3810,Chacko Randaaman (2006),2006,,33
3813,Chess (2006),2006,,90
3814,Mahaasamudram (2006),2006,,79
3816,Classmates (2006),2006,25-08-2006,95
3820,Keerthichakra (2006),2006,08-03-2006,94
3821,Pathaaka (2006),2006,31-08-2006,74
3825,Photographer (2006),2006,,80
3826,Bhaargavacharitham Moonnam Khandam (2006),2006,,67
3827,The Don (2006),2006,,88
3829,Aanachantham (2006),2006,08-04-2006,93
3830,Yes Your Honour (2006),2006,,78
3831,Karutha Pakshikal (2006),2006,17-11-2006,97
3833,Rakshakan (2007),2007,06-08-2007,83
3834,Vaasthavam (2006),2006,,88
3836,Vargam (2006),2006,02-10-2006,93
3837,Pakal (2006),2006,,66
3840,Ashwaaroodan (2006),2006,,87
3841,Moonaamathoraal (2006),2006,,82
3843,Chakkaramuthu (2006),2006,,85
3844,Note Book (2006),2006,21-12-2006,96
3845,Pothen Vava (2006),2006,,75
3846,Red Salute (2006),2006,,81
3850,Bada Dosth (2006),2006,24-10-2006,77
3851,Kanaka Simhaasanam (2006),2006,29-12-2006,82
